NAME,AREA,DISTRCT,LAT,LONG,RIVER,DETAILS_URL,ALTITUDE,ALKALINITY,DEPTH
Castle Semple Loch,0.79,Clyde,55.79762,-4.60902,Black Cart Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100294,Lowland,Brackish,Shallow
Loch a  Phuill,0.87,Argyll,56.47047,-6.94373,Tiree Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100238,Lowland,Brackish,Deep
Balgray Reservoir,0.59,Clyde,55.78436,-4.37255,White Cart Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100299,Lowland,High alkalinity,Deep
Barcraigs Reservoir,0.68,Clyde,55.78119,-4.57309,Black Cart Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100298,Lowland,High alkalinity,Deep
Castle Loch (Lochmaben),0.75,Solway,55.11971,-3.43177,River Annan,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100322,Lowland,High alkalinity,Shallow
Gartmorn Dam,0.56,Forth,56.12791,-3.73972,Stirling Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100276,Lowland,High alkalinity,Deep
Gryfe Reservoirs,0.66,Clyde,55.90887,-4.75657,River Gryfe,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100285,Lowland,High alkalinity,Deep
Harperrig Reservoir,0.9,Forth,55.83398,-3.44515,Water of Leith,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100293,Mid-altitude,High alkalinity,Deep
Hillend Reservoir,1.31,Clyde,55.88717,-3.86176,River Clyde,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100287,Lowland,High alkalinity,Deep
Loch Assapol,0.54,Argyll,56.30687,-6.19817,Island of Mull Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100253,Lowland,High alkalinity,Deep
Loch Bhornais,0.5,West Highland,57.23686,-7.41797,South Uist Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100165,Lowland,High alkalinity,Deep
Loch Chill Donnain Uarach,0.69,West Highland,57.22601,-7.4112,South Uist Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100166,Lowland,High alkalinity,Deep
Loch Coulter Reservoir,0.73,Forth,56.05138,-3.98612,River Carron (Falkirk),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100279,Mid-altitude,High alkalinity,Deep
Loch Eye,1.6,North Highland,57.79223,-3.96716,Cromarty Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100107,Lowland,High alkalinity,Shallow
Loch Fad,0.9,Clyde,55.80925,-5.07155,Island of Bute Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100292,Lowland,High alkalinity,Deep
Loch Finlaggan,0.63,Argyll,55.83069,-6.17543,Islay Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100286,Lowland,High alkalinity,Deep
Loch Fitty,0.62,Forth,56.10698,-3.41528,River Leven (Fife),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100278,Lowland,High alkalinity,Shallow
Loch Frisa,4.38,Argyll,56.5636,-6.09146,Island of Mull Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100229,Lowland,High alkalinity,Deep
Loch Garbhaig,0.6,West Highland,57.68015,-5.35392,River Ewe,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100120,Mid-altitude,High alkalinity,Deep
Loch Garve,1.45,North Highland,57.59934,-4.66197,River Conon,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100134,Lowland,High alkalinity,Deep
Loch Gelly,0.59,Forth,56.11838,-3.28658,River Leven (Fife),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100277,Lowland,High alkalinity,Shallow
Loch Gorm,2.71,Argyll,55.80511,-6.42142,Islay Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100288,Lowland,High alkalinity,Deep
Loch Heilen,0.78,North Highland,58.59637,-3.28383,Thurso Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100015,Lowland,High alkalinity,Shallow
Loch Hempriggs,0.88,North Highland,58.4075,-3.12652,Wick Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100034,Lowland,High alkalinity,Shallow
Loch Leven,13.71,Forth,56.19814,-3.37586,River Leven (Fife),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100269,Lowland,High alkalinity,Deep
Loch of Boardhouse,2.36,Orkney and Shetland,59.11337,-3.27893,Orkney Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100007,Lowland,High alkalinity,Shallow
Loch of Harray,9.81,Orkney and Shetland,59.02715,-3.2335,Loch of Stenness,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100008,Lowland,High alkalinity,Shallow
Loch of Hundland,1.01,Orkney and Shetland,59.11611,-3.2342,Orkney Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100006,Lowland,High alkalinity,Shallow
